naics_code,description,naics_label,Mistral7Bv01_tokenized_name,Mistral7Bv01_tokenized_description
3211,Sawmills and Wood PreservationSawmills | Wood Preservation,Sawmills and Wood Preservation,1|25594|28719|2767|304|8010|3981|23587,1|25594|28719|2767|304|8010|3981|23587|28735|1067|28719|2767|259|8010|3981|23587
3212,"Veneer, Plywood, and Engineered Wood Product ManufacturingHardwood Veneer and Plywood Manufacturing | Softwood Veneer and Plywood Manufacturing | Engineered Wood Member Manufacturing | Reconstituted Wood Product Manufacturing","Veneer, Plywood, and Engineered Wood Product Manufacturing",1|550|1860|263|28725|367|346|4871|28725|304|9387|2092|8010|9068|19663|1378,1|550|1860|263|28725|367|346|4871|28725|304|9387|2092|8010|9068|19663|1378|23226|4871|550|1860|263|304|367|346|4871|19663|1378|259|6001|4871|550|1860|263|304|367|346|4871|19663|1378|259|9387|2092|8010|15178|19663|1378|259|1298|1978|28346|8010|9068|19663|1378
3219,"Millwork | Wood Container and Pallet Manufacturing | All Other Wood Product ManufacturingWood Window and Door Manufacturing | Cut Stock, Resawing Lumber, and Planing | Other Millwork (including Flooring) | Wood Container and Pallet Manufacturing | Manufactured Home (Mobile Home) Manufacturing | Prefabricated Wood Building Manufacturing | All Other Miscellaneous Wood Product Manufacturing",Other Wood Product Manufacturing,1|5299|8010|9068|19663|1378,1|6274|1328|259|8010|25204|304|4187|895|19663|1378|259|1682|5299|8010|9068|19663|1378|28780|1004|7539|304|26519|19663|1378|259|18514|11548|28725|1992|1067|288|393|1031|28725|304|9116|288|259|5299|6274|1328|325|14682|14819|4590|28731|259|8010|25204|304|4187|895|19663|1378|259|19663|2330|6434|325|23090|6434|28731|19663|1378|259|367|1013|375|1491|601|8010|14578|19663|1378|259|1682|5299|21297|4860|18834|8010|9068|19663|1378
3221,Pulp Mills | Paper Mills | Paperboard MillsPulp Mills | Paper Mills | Paperboard Mills,"Pulp, Paper, and Paperboard Mills",1|367|20784|28725|20038|28725|304|20038|3516|351|2767,1|367|20784|351|2767|259|20038|351|2767|259|20038|3516|351|2767|28753|20784|351|2767|259|20038|351|2767|259|20038|3516|351|2767
3222,Paperboard Container Manufacturing | Paper Bag and Coated and Treated Paper Manufacturing | Stationery Product Manufacturing | Other Converted Paper Product ManufacturingCorrugated and Solid Fiber Box Manufacturing | Folding Paperboard Box Manufacturing | Other Paperboard Container Manufacturing | Paper Bag and Coated and Treated Paper Manufacturing | Stationery Product Manufacturing | Sanitary Paper Product Manufacturing | All Other Converted Paper Product Manufacturing,Converted Paper Product Manufacturing,1|16186|286|20038|9068|19663|1378,1|20038|3516|25204|19663|1378|259|20038|17699|304|3092|601|304|9485|601|20038|19663|1378|259|13354|1193|9068|19663|1378|259|5299|16186|286|20038|9068|19663|1378|9903|10909|601|304|6849|313|401|3858|10598|19663|1378|259|401|25107|20038|3516|10598|19663|1378|259|5299|20038|3516|25204|19663|1378|259|20038|17699|304|3092|601|304|9485|601|20038|19663|1378|259|13354|1193|9068|19663|1378|259|3652|11969|20038|9068|19663|1378|259|1682|5299|16186|286|20038|9068|19663|1378
3231,Printing | Support Activities for PrintingCommercial Printing (except Screen and Books) | Commercial Screen Printing | Books Printing | Support Activities for Printing,Printing and Related Support Activities,1|13281|288|304|23432|10731|18359|1218,1|13281|288|259|10731|18359|1218|354|13281|288|1163|19828|13281|288|325|19603|24432|304|13540|28731|259|24551|24432|13281|288|259|13540|13281|288|259|10731|18359|1218|354|13281|288
3241,"Petroleum Refineries | Asphalt Paving, Roofing, and Saturated Materials Manufacturing | Other Petroleum and Coal Products ManufacturingPetroleum Refineries | Asphalt Paving Mixture and Block Manufacturing | Asphalt Shingle and Coating Materials Manufacturing | Petroleum Lubricating Oil and Grease Manufacturing | All Other Petroleum and Coal Products Manufacturing",Petroleum and Coal Products Manufacturing,1|6728|9606|383|304|25243|21061|19663|1378,1|6728|9606|383|6360|4828|497|259|1136|721|2304|367|1652|28725|5243|1009|288|28725|304|318|4692|601|15210|28713|19663|1378|259|5299|6728|9606|383|304|25243|21061|19663|1378|24234|9606|383|6360|4828|497|259|1136|721|2304|367|1652|13609|8440|304|9063|19663|1378|259|1136|721|2304|1295|5810|304|3092|1077|15210|28713|19663|1378|259|6728|9606|383|25115|1491|1077|16181|304|9261|555|19663|1378|259|1682|5299|6728|9606|383|304|25243|21061|19663|1378
3251,"Petrochemical Manufacturing | Industrial Gas Manufacturing | Synthetic Dye and Pigment Manufacturing | Other Basic Inorganic Chemical Manufacturing | Other Basic Organic Chemical ManufacturingPetrochemical Manufacturing | Industrial Gas Manufacturing | Synthetic Dye and Pigment Manufacturing | Other Basic Inorganic Chemical Manufacturing | Ethyl Alcohol Manufacturing | Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing | All Other Basic Organic Chemical Manufacturing",Basic Chemical Manufacturing,1|18267|18199|745|19663|1378,1|6728|311|23164|745|19663|1378|259|22302|17439|19663|1378|259|7281|448|8696|384|7187|304|367|326|466|19663|1378|259|5299|18267|560|8974|294|18199|745|19663|1378|259|5299|18267|8702|294|18199|745|19663|1378|24234|311|23164|745|19663|1378|259|22302|17439|19663|1378|259|7281|448|8696|384|7187|304|367|326|466|19663|1378|259|5299|18267|560|8974|294|18199|745|19663|1378|259|11482|2951|976|9725|19663|1378|259|27548|294|11549|450|28725|4287|12597|28725|304|420|383|304|8010|18199|745|19663|1378|259|1682|5299|18267|8702|294|18199|745|19663|1378
3252,Resin and Synthetic Rubber Manufacturing | Artificial and Synthetic Fibers and Filaments ManufacturingPlastics Material and Resin Manufacturing | Synthetic Rubber Manufacturing | Artificial and Synthetic Fibers and Filaments Manufacturing,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1|1992|262|28725|7281|448|8696|12178|537|28725|304|3951|14773|304|7281|448|8696|401|593|404|304|4059|22987|19663|1378,1|1992|262|304|7281|448|8696|12178|537|19663|1378|259|3951|14773|304|7281|448|8696|401|593|404|304|4059|22987|19663|1378|2249|529|1063|15210|304|1992|262|19663|1378|259|7281|448|8696|12178|537|19663|1378|259|3951|14773|304|7281|448|8696|401|593|404|304|4059|22987|19663|1378
3253,Fertilizer and Compost Manufacturing | Pesticide and Other Agricultural Chemical ManufacturingNitrogenous Fertilizer Manufacturing | Phosphatic Fertilizer Manufacturing | Fertilizer (Mixing Only) Manufacturing | Compost Manufacturing | Pesticide and Other Agricultural Chemical Manufacturing,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",1|367|9546|547|28725|401|930|309|4024|28725|304|5299|23837|1890|18199|745|19663|1378,1|401|930|309|4024|304|1124|3192|19663|1378|259|367|9546|547|304|5299|23837|1890|18199|745|19663|1378|28759|279|25502|607|401|930|309|4024|19663|1378|259|1972|24512|1711|401|930|309|4024|19663|1378|259|401|930|309|4024|325|26388|288|6352|28731|19663|1378|259|1124|3192|19663|1378|259|367|9546|547|304|5299|23837|1890|18199|745|19663|1378
3254,Pharmaceutical and Medicine ManufacturingMedicinal and Botanical Manufacturing | Pharmaceutical Preparation Manufacturing | In-Vitro Diagnostic Substance Manufacturing | Biological Product (except Diagnostic) Manufacturing,Pharmaceutical and Medicine Manufacturing,1|1972|1785|24834|745|304|18293|19663|1378,1|1972|1785|24834|745|304|18293|19663|1378|15774|294|1475|304|17174|276|745|19663|1378|259|1972|1785|24834|745|4258|1389|352|19663|1378|259|560|28733|28790|279|311|6216|13685|5078|2410|19663|1378|259|6345|4423|9068|325|19603|6216|13685|28731|19663|1378
3255,Paint and Coating Manufacturing | Adhesive ManufacturingPaint and Coating Manufacturing | Adhesive Manufacturing,"Paint, Coating, and Adhesive Manufacturing",1|367|1690|28725|3092|1077|28725|304|1964|2053|495|19663|1378,1|367|1690|304|3092|1077|19663|1378|259|1964|2053|495|19663|1378|22795|304|3092|1077|19663|1378|259|1964|2053|495|19663|1378
