naics_code,description
321113,"This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--"
321114,"This U.S. industry comprises establishments primarily engaged in (1) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives, such as alkaline copper quat, copper azole, and sodium borates, to prevent decay and to protect against fire and insects and/or (2) sawing round wood poles, pilings, and posts and treating them with preservatives.

Cross-References."
321211,"This U.S. industry comprises establishments primarily engaged in manufacturing hardwood veneer and/or hardwood plywood.

Cross-References. Establishments primarily engaged in--"
321212,"This U.S. industry comprises establishments primarily engaged in manufacturing softwood veneer and/or softwood plywood.

Cross-References. Establishments primarily engaged in--"
321215,"This U.S. industry comprises establishments primarily engaged in manufacturing fabricated or laminated wood arches, wood roof and floor trusses, and/or other fabricated or laminated wood structural members.

Illustrative Examples:

Finger joint lumber manufacturing
I-joists, wood, fabricating
Laminated veneer lumber (LVL) manufacturing
Parallel strand lumber manufacturing
Timbers, structural, glue laminated or pre-engineered wood, manufacturing
Trusses, wood roof or floor, manufacturing


Cross-References. Establishments primarily engaged in--"
321219,"This U.S. industry comprises establishments primarily engaged in manufacturing reconstituted wood sheets and boards.

Illustrative Examples:

Medium density fiberboard (MDF) manufacturing
Oriented strandboard (OSB) manufacturing
Particleboard manufacturing
Reconstituted wood sheets and boards manufacturing
Waferboard manufacturing 


Cross-References. Establishments primarily engaged in--"
321911,"This U.S. industry comprises establishments primarily engaged in manufacturing window and door units, sash, window and door frames, and doors from wood or wood clad with metal or plastics.

Cross-References."
321912,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing dimension lumber from purchased lumber; (2) manufacturing dimension stock (i.e., shapes) or cut stock; (3) resawing the output of sawmills; and (4) planing purchased lumber.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood.

Cross-References. Establishments primarily engaged in--"
321918,"This U.S. industry comprises establishments primarily engaged in manufacturing millwork (except wood windows, wood doors, and cut stock).

Illustrative Examples:

Clear and finger joint wood moldings manufacturing
Decorative wood moldings (e.g., base, chair rail, crown, shoe) manufacturing
Ornamental woodwork (e.g., cornices, mantel) manufacturing 
Planing mills, millwork 
Stairwork (e.g., newel posts, railings, stairs, staircases), wood, manufacturing
Wood flooring manufacturing
Wood shutters manufacturing


Cross-References. Establishments primarily engaged in--"
321920,"This industry comprises establishments primarily engaged in manufacturing wood pallets, wood box shook, wood boxes, other wood containers, and wood parts for pallets and containers.

Cross-References."
